dir,iot,ext,sport,dport,sizeBin,label
1,172.16.2.12,172.16.7.10,6.57746,6.22,M,login
1,172.16.5.8,172.16.1.9,6.55316,6.22,M,login
1,172.16.5.3,172.16.6.12,6.34184,6.22,M,login
1,172.16.2.14,172.16.4.7,6.39624,6.22,M,login
1,172.16.4.4,192.168.1.6,6.48198,6.22,M,login
1,172.16.4.4,192.168.1.6,6.49100,6.22,M,login
1,172.16.4.4,172.16.2.3,6.59552,6.22,M,login
1,172.16.6.8,172.16.1.9,6.50396,6.22,M,login
1,172.16.3.12,172.16.5.10,6.34914,6.22,M,login
1,172.16.5.5,172.16.4.7,6.58916,6.22,M,login
1,172.16.2.13,172.16.4.10,6.57492,6.22,M,login
1,172.16.3.4,192.168.1.41,6.59536,6.22,M,login
1,172.16.1.12,172.16.4.10,6.57044,6.22,M,login
1,172.16.5.6,172.16.6.14,6.52278,6.22,M,login
1,172.16.1.8,192.168.1.6,6.40306,6.22,M,login
1,172.16.1.8,192.168.1.6,6.40946,6.22,M,login
1,172.16.1.12,172.16.6.11,6.57854,6.22,M,login
1,172.16.5.5,172.16.6.14,6.38590,6.22,M,login
1,172.16.2.13,192.168.1.41,6.52352,6.22,M,login
1,172.16.7.6,192.168.1.6,6.37862,6.22,M,login
1,172.16.4.4,192.168.1.6,6.49154,6.22,M,login
1,172.16.3.6,172.16.5.12,6.34320,6.22,M,login
1,172.16.2.9,172.16.4.8,6.59144,6.22,M,login
1,172.16.5.5,172.16.4.7,6.58816,6.22,M,login
1,172.16.7.5,172.16.4.10,6.50224,6.22,M,login
1,172.16.1.12,172.16.4.10,6.57638,6.22,M,login
1,172.16.4.5,192.168.1.6,6.38454,6.22,M,login
1,172.16.2.12,172.16.7.10,6.58874,6.22,M,login
1,172.16.4.9,172.16.5.10,6.41596,6.22,M,login
1,172.16.1.10,172.16.5.10,6.38442,6.22,M,login
1,172.16.7.5,192.168.1.6,6.58882,6.22,M,login
1,172.16.2.12,172.16.1.9,6.37260,6.22,M,login
1,172.16.1.13,172.16.5.10,6.52830,6.22,M,login
1,172.16.3.4,172.16.1.9,6.42290,6.22,M,login
1,172.16.1.13,172.16.2.8,6.34344,6.22,M,login
1,172.16.5.8,172.16.7.10,6.55576,6.22,M,login
1,172.16.2.12,172.16.7.10,6.58412,6.22,M,login
1,172.16.1.8,192.168.1.6,6.41652,6.22,M,login
1,172.16.3.4,172.16.4.7,6.56758,6.22,M,login
1,172.16.2.14,172.16.4.7,6.40202,6.22,M,login
1,172.16.7.6,192.168.1.6,6.36932,6.22,M,login
1,172.16.5.13,172.16.7.10,6.47286,6.22,M,login
1,172.16.5.8,172.16.2.6,6.52464,6.22,M,login
1,172.16.4.11,172.16.3.14,6.34818,6.22,M,login
1,172.16.3.6,172.16.6.11,6.38254,6.22,M,login
